Compound,Date,Negative,Neutral,Positive,Tweets,Tweets Ago,User
0.0,Wed Mar 28 11:49:07 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",30,@BBC
0.0,Wed Mar 28 11:47:35 +0000 2018,0.0,1.0,0.0,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",31,@BBC
-0.34,Wed Mar 28 11:47:08 +0000 2018,0.098,0.902,0.0,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",32,@BBC
0.0,Wed Mar 28 11:45:32 +0000 2018,0.0,1.0,0.0,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,33,@BBC
0.0,Wed Mar 28 11:42:34 +0000 2018,0.0,1.0,0.0,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,34,@BBC
0.3182,Wed Mar 28 11:30:09 +0000 2018,0.056,0.837,0.108,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,35,@BBC
0.0,Wed Mar 28 11:04:03 +0000 2018,0.0,1.0,0.0,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",36,@BBC
0.0,Wed Mar 28 10:53:47 +0000 2018,0.0,1.0,0.0,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…",37,@BBC
-0.3612,Wed Mar 28 10:33:03 +0000 2018,0.135,0.865,0.0,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,38,@BBC
0.0,Wed Mar 28 09:53:41 +0000 2018,0.0,1.0,0.0,🛁🐤 Are your bathroom toys in-fact DEADLY? 😱 https://t.co/YrtMOzTvrb,39,@BBC
0.0,Wed Mar 28 09:14:19 +0000 2018,0.0,1.0,0.0,"RT @bbcarts: Andrew Scott, as Hamlet, performs the opening lines of #Shakespeare's most famous soliloquy. Watch the full production at 9pm,…",40,@BBC
-0.7351,Wed Mar 28 08:00:02 +0000 2018,0.256,0.744,0.0,"❤️ After seeing her brother's struggles with depression, Luli's on a mission to break the stigma in the black commu… https://t.co/kl1ak4Gu6w",41,@BBC
-0.25,Wed Mar 28 07:30:05 +0000 2018,0.192,0.692,0.115,"😤 Feeling moody? 
Your gut bacteria might be to blame...
👉 https://t.co/2oPWKjf4D2 https://t.co/Xr5MwczfGR",42,@BBC
-0.4588,Wed Mar 28 07:00:02 +0000 2018,0.176,0.824,0.0,"'I made a decision to not be unbelievably busy.'

@Meshel_Laurie on beating busyness with Buddhism. https://t.co/7ynSgadRyq",43,@BBC
0.0,Tue Mar 27 18:30:07 +0000 2018,0.0,1.0,0.0,"When mother Marie mysteriously leaves the family home, the repercussions are enormous.

#ComeHome | 9pm | @BBCOne |… https://t.co/S4JgnzQlAx",44,@BBC
0.2942,Tue Mar 27 18:00:08 +0000 2018,0.0,0.872,0.128,"🇩🇪😂 Even if you don't speak German, this is worth watching until the end! 
#LiveAtTheApollo https://t.co/J3l8oToRbk",45,@BBC
0.0,Tue Mar 27 17:00:07 +0000 2018,0.0,1.0,0.0,"🍜 We've got oodles of noodles with recipes for pad Thai, chow mein, ramen, pho and stir-fries.
👉… https://t.co/JWfrcIhn2X",46,@BBC
0.0,Tue Mar 27 16:00:15 +0000 2018,0.0,1.0,0.0,😬 What does Facebook know about you? https://t.co/lG4ffeCG09,47,@BBC
0.6114,Tue Mar 27 15:40:40 +0000 2018,0.0,0.75,0.25,RT @BBCTwo: Happy #WorldTheatreDay! *leaves this here and runs away* @SaraPascoe 🎭😂 https://t.co/3XlEb5gr15,48,@BBC
0.0,Tue Mar 27 15:38:26 +0000 2018,0.0,1.0,0.0,"RT @BBCScotland: Meet the master of the radiator harp

@DaftLimmy returns to BBC Scotland on Thursday 5 April. https://t.co/G7mjFEJx6k",49,@BBC
-0.3064,Tue Mar 27 15:36:22 +0000 2018,0.134,0.866,0.0,RT @bbcthree: 12-year-old Keilan has very severe curvature of the spine. He needs surgery ASAP but the 5 hour operation could leave him par…,50,@BBC
0.0,Tue Mar 27 15:33:24 +0000 2018,0.0,1.0,0.0,"RT @bbccomedy: Cathy, master of shade. #Mum https://t.co/VjC2ttkaNF",51,@BBC
0.0,Tue Mar 27 15:26:23 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: (•_•)
&lt;)   )╯who
 /    \ 

  (•_•)
 \(   (&gt; bit
  /    \

 (•_•)
&lt;)   )╯Beyoncé? 
 /    \ 

https://t.co/7hQd9mcKUY",52,@BBC
-0.5994,Tue Mar 27 14:30:37 +0000 2018,0.14,0.86,0.0,"RT @BBCWorld: It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space 👨‍🚀 https://t…",53,@BBC
0.0,Tue Mar 27 13:33:01 +0000 2018,0.0,1.0,0.0,❤️ The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5,54,@BBC
0.0,Tue Mar 27 12:00:08 +0000 2018,0.0,1.0,0.0,The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks,55,@BBC
0.0,Tue Mar 27 11:05:06 +0000 2018,0.0,1.0,0.0,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
👉 https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI",56,@BBC
0.25,Tue Mar 27 11:00:06 +0000 2018,0.0,0.875,0.125,"🎭 @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
👉… https://t.co/pTLXfve0ds",57,@BBC
0.0,Tue Mar 27 09:52:08 +0000 2018,0.0,1.0,0.0,"🚀🌎 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

🚨 SPOILER: it's not.  https://t.co/f5oNRItwyq",58,@BBC
0.0,Tue Mar 27 09:40:22 +0000 2018,0.0,1.0,0.0,"RT @BBCTwo: Now we've got our country back... what actually is it? 🤔

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…",59,@BBC
0.4019,Tue Mar 27 09:39:23 +0000 2018,0.0,0.876,0.124,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi,60,@BBC
0.0,Tue Mar 27 09:38:59 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: We can't get enough of @george_ezra's Live Lounge 😍

Watch him perform 'Paradise' and cover 'These Days' right here 👉https://t.c…",61,@BBC
0.5994,Tue Mar 27 09:36:48 +0000 2018,0.0,0.843,0.157,"RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. 🕺🏻 

Show us yours with #sup…",62,@BBC
0.0,Tue Mar 27 08:00:04 +0000 2018,0.0,1.0,0.0,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v",63,@BBC
0.0,Tue Mar 27 07:30:04 +0000 2018,0.0,1.0,0.0,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn",64,@BBC
-0.4588,Tue Mar 27 07:00:08 +0000 2018,0.124,0.827,0.049,"The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of… https://t.co/xFtEAjBTXC",65,@BBC
-0.6249,Mon Mar 26 19:03:02 +0000 2018,0.194,0.806,0.0,"Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9",66,@BBC
0.7783,Mon Mar 26 18:24:04 +0000 2018,0.0,0.688,0.312,"Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq",67,@BBC
0.0,Mon Mar 26 17:30:04 +0000 2018,0.0,1.0,0.0,🐶😂 It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg,68,@BBC
0.5859,Mon Mar 26 16:25:02 +0000 2018,0.0,0.787,0.213,"✈️ Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf",69,@BBC
-0.3818,Mon Mar 26 15:45:04 +0000 2018,0.161,0.744,0.095,"Tom Cruise stars in a remake of the 1953 adaptation of HG Wells’s classic novel. 🍿

War of the Worlds | @BBCiPlayer… https://t.co/h19JvTlFSA",70,@BBC
0.0,Mon Mar 26 15:11:57 +0000 2018,0.0,1.0,0.0,"In her role as head of the Commonwealth, the Queen embarked on her first tour of the nations in 1953.

But by 1970… https://t.co/Av61bahNZF",71,@BBC
0.0,Mon Mar 26 12:58:02 +0000 2018,0.0,1.0,0.0,"Never let a squirrel nibble your nobble... 🎈🐿😱
https://t.co/cHm9m6At3m",72,@BBC
0.4404,Mon Mar 26 11:48:03 +0000 2018,0.0,0.828,0.172,Apple wants to introduce new emojis to better represent people with disabilities. ❤️️ https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm,73,@BBC
-0.5106,Mon Mar 26 11:00:05 +0000 2018,0.163,0.837,0.0,"A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T5YocDauYj",74,@BBC
-0.128,Mon Mar 26 10:00:07 +0000 2018,0.07,0.93,0.0,"From hot cross bun gin to Creme Egg Yorkshire pudding, this year’s Easter treats are bigger, weirder and more decad… https://t.co/HvDJmgcB5q",75,@BBC
0.4588,Mon Mar 26 09:35:06 +0000 2018,0.0,0.864,0.136,RT @bbcpress: Sue Perkins will return to host the 2018 #BAFTA TV awards on Sunday 13 May on @BBCOne. https://t.co/pieSWNAGbH,76,@BBC
0.3182,Mon Mar 26 09:33:01 +0000 2018,0.0,0.753,0.247,"😂 @BillBailey is NOT a fan of taramasalata. #Room101 

https://t.co/soAAz27c0C",77,@BBC
0.0,Mon Mar 26 09:04:01 +0000 2018,0.0,1.0,0.0,"The kiwi bird's egg is so large, it takes almost ten days to lay! 🐦🥚😳  #DavidAttenboroughsNaturalCuriosities
https://t.co/AkZqK9vzZZ",78,@BBC
0.5819,Mon Mar 26 08:29:04 +0000 2018,0.0,0.818,0.182,"🤔Why do so many celebrities decide to enter politics?

Some have done so more successfully than others...… https://t.co/MkEDpSeLMJ",79,@BBC
0.2263,Mon Mar 26 07:30:10 +0000 2018,0.09,0.749,0.161,"Wishing you could get out of bed just that little bit earlier? 😴

If you need some motivation to set that alarm, he… https://t.co/zsisa2oA4s",80,@BBC
0.128,Sun Mar 25 19:44:01 +0000 2018,0.077,0.821,0.101,"Could this be an answer to global water shortages? 🏜💧 This machine creates water out of thin air. 

https://t.co/caz4nXMJg5",81,@BBC
-0.7506,Sun Mar 25 19:15:06 +0000 2018,0.286,0.714,0.0,"Tonight, @regyates meets people whose lives have been devastated by the Grenfell fire. 

Reggie Yates: Searching fo… https://t.co/HPgtcZuHte",82,@BBC
0.5719,Sun Mar 25 18:40:04 +0000 2018,0.0,0.837,0.163,"Tonight, @mcgregor_ewan and @McgColin celebrate the centenary of the Royal Air Force. 

RAF at 100 with Ewan and Co… https://t.co/nF2iwBP51b",83,@BBC
0.0,Sun Mar 25 18:13:03 +0000 2018,0.0,1.0,0.0,The first ever statue of David Bowie has been unveiled in the town where he debuted Ziggy Stardust. ⚡️… https://t.co/lFgROYVkv1,84,@BBC
0.5267,Sun Mar 25 17:30:07 +0000 2018,0.0,0.815,0.185,"When you're enjoying being single and people just can't deal with it. 🙄😂 @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",85,@BBC
0.4588,Sun Mar 25 15:03:03 +0000 2018,0.0,0.833,0.167,"🇺🇸🏝🇬🇧 Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ",86,@BBC
0.0,Sun Mar 25 14:30:02 +0000 2018,0.0,1.0,0.0,"💬 We could listen to him speak all day. 

📽 Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13",87,@BBC
0.1779,Sun Mar 25 14:09:03 +0000 2018,0.0,0.909,0.091,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ♻️🌊💔… https://t.co/uKD9BQWmUi",88,@BBC
0.5574,Sun Mar 25 13:03:04 +0000 2018,0.0,0.816,0.184,"👽✨🛸 @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz",89,@BBC
0.0,Sun Mar 25 12:03:02 +0000 2018,0.0,1.0,0.0,"Weighing just 100g, a newborn panda is one 900th the size of its mum! 🐼💕 #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs",90,@BBC
0.0,Sun Mar 25 10:30:04 +0000 2018,0.0,1.0,0.0,🐟Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf,91,@BBC
-0.3612,Sun Mar 25 09:30:15 +0000 2018,0.161,0.839,0.0,"Ever wondered what made you feel moody? It might be your gut.

👉 https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn",92,@BBC
0.5719,Sun Mar 25 08:43:31 +0000 2018,0.0,0.764,0.236,"RT @BBCScotland: Up your brunch game with perfect poached eggs.

via @bbcthesocial https://t.co/1imXNeOZ9d",93,@BBC
-0.4019,Sun Mar 25 08:43:26 +0000 2018,0.101,0.899,0.0,"RT @bbcweather: #Winter may not be done with us yet, as colder continental air fights back against milder maritime air across the UK this w…",94,@BBC
0.0,Sun Mar 25 08:43:22 +0000 2018,0.0,1.0,0.0,RT @BBCSport: A simply astonishing confession from Australia captain Steve Smith and batsman Cameron Bancroft 😳 https://t.co/YaE7fBZamq,95,@BBC
-0.25,Sun Mar 25 08:00:12 +0000 2018,0.153,0.743,0.104,A woman who drinks 30 cans a day says her addiction to energy drinks is worse than gambling.… https://t.co/d11ATW0F0f,96,@BBC
0.0,Sun Mar 25 07:34:02 +0000 2018,0.0,1.0,0.0,You learn something new every day. Here's how to poo a baby jaguar. 🤷💩#BigCatsAboutTheHouse https://t.co/Eg5rF1414b,97,@BBC
-0.4215,Sun Mar 25 07:02:00 +0000 2018,0.141,0.859,0.0,When the clocks have gone forward but there's no way you're getting out of bed yet. 🙅‍♂️⏰#DaylightSavings https://t.co/cHBPV3ITsQ,98,@BBC
-0.3818,Sat Mar 24 20:34:01 +0000 2018,0.115,0.885,0.0,"""I still see people screaming for help.""

This Sunday at 9pm on @BBCTwo, @REGYATES meets the people whose lives wer… https://t.co/RS16yXF17H",99,@BBC
0.0,Thu Mar 29 17:32:40 +0000 2018,0.0,1.0,0.0,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv",0,@CBS
0.0,Thu Mar 29 17:30:02 +0000 2018,0.0,1.0,0.0,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R",1,@CBS
0.3818,Tue Mar 27 21:00:01 +0000 2018,0.108,0.68,0.212,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu,2,@CBS
0.296,Tue Mar 27 17:00:00 +0000 2018,0.0,0.901,0.099,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj,3,@CBS
0.508,Mon Mar 26 22:14:25 +0000 2018,0.0,0.88,0.12,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",4,@CBS
0.0,Mon Mar 26 20:42:48 +0000 2018,0.0,1.0,0.0,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",5,@CBS
0.7959,Mon Mar 26 16:59:19 +0000 2018,0.0,0.786,0.214,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…,6,@CBS
0.807,Mon Mar 26 16:05:18 +0000 2018,0.0,0.622,0.378,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj",7,@CBS
0.0,Sun Mar 25 23:57:34 +0000 2018,0.0,1.0,0.0,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs,8,@CBS
0.5319,Sun Mar 25 17:15:25 +0000 2018,0.062,0.78,0.157,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR,9,@CBS
0.5399,Sat Mar 24 22:46:53 +0000 2018,0.0,0.801,0.199,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P,10,@CBS
-0.34,Sat Mar 24 22:46:43 +0000 2018,0.185,0.7,0.115,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest,11,@CBS
0.7003,Sat Mar 24 22:25:03 +0000 2018,0.0,0.791,0.209,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…",12,@CBS
0.0,Sat Mar 24 22:21:37 +0000 2018,0.0,1.0,0.0,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜,13,@CBS
0.0,Sat Mar 24 22:21:34 +0000 2018,0.0,1.0,0.0,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…",14,@CBS
0.7184,Sat Mar 24 22:21:26 +0000 2018,0.0,0.667,0.333,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest",15,@CBS
0.9451,Sat Mar 24 22:21:23 +0000 2018,0.0,0.58,0.42,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…,16,@CBS
0.0,Sat Mar 24 20:00:02 +0000 2018,0.0,1.0,0.0,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x",17,@CBS
0.6996,Fri Mar 23 22:33:52 +0000 2018,0.0,0.806,0.194,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW,18,@CBS
0.4939,Fri Mar 23 22:33:04 +0000 2018,0.0,0.686,0.314,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU,19,@CBS
